,city,company,jobTitle,meanPay
137,New Delhi (India),Droom Technology,Software Engineer,"xx,xxx/yr"
138,New Delhi (India),NCR,Software Engineer,"xx,xxx/yr"
139,New Delhi (India),Mobiloitte,Software Engineer - Monthly,"xx,xxx/mo"
140,New Delhi (India),HARMAN,Software Engineer,"5,34,097/yr"
141,New Delhi (India),NTT DATA,Software Engineer,"4,24,594/yr"
142,New Delhi (India),Aon,Software Engineer,"6,70,011/yr"
143,New Delhi (India),Cavisson Systems,Software Engineer - Monthly,"xx,xxx/mo"
144,New Delhi (India),Tavant,Software Engineer,"xx,xxx/yr"
145,New Delhi (India),Adobe,Software Engineer - Monthly,"xx,xxx/mo"
146,New Delhi (India),Infogain,Software Engineer - Monthly,"xx,xxx/mo"
147,New Delhi (India),IBM,Software Engineer,"xx,xxx/yr"
148,New Delhi (India),IBM,Software Engineer - Monthly,"xx,xxx/mo"
149,New Delhi (India),Hike,Software Engineer,"xx,xxx/yr"
150,New Delhi (India),Conduent,Software Engineer,"xx,xxx/yr"
151,New Delhi (India),TCS,Software Engineer - Monthly,"xx,xxx/mo"
152,New Delhi (India),TO THE NEW,Software Engineer - Monthly,"xx,xxx/mo"
153,New Delhi (India),Microsoft,Software Engineer,"xx,xxx/yr"
154,New Delhi (India),Amazon,Software Engineer,"xx,xxx/yr"
155,New Delhi (India),Infosys,Software Engineer - Monthly,"xx,xxx/mo"
156,New Delhi (India),MediaTek,Software Engineer,"xx,xxx/yr"
157,New Delhi (India),Tech Mahindra,Software Engineer,"xx,xxx/yr"
158,New Delhi (India),VVDN Technologies,Software Engineer,"xx,xxx/yr"
159,New Delhi (India),InnovationM,Software Engineer,"xx,xxx/yr"
160,New Delhi (India),WebKul,Software Engineer - Monthly,"30,591/mo"
161,New Delhi (India),Bureau Veritas,Software Engineer,"5,68,677/yr"
162,New Delhi (India),Accolite,Software Engineer,"8,68,362/yr"
163,New Delhi (India),Ebizon Net Info,Software Engineer,"xx,xxx/yr"
164,New Delhi (India),SAP,Software Engineer,"xx,xxx/yr"
165,New Delhi (India),hCentive,Software Engineer,"xx,xxx/yr"
166,New Delhi (India),Atrenta,Software Engineer,"xx,xxx/yr"
167,New Delhi (India),ARI Simulation,Software Engineer,"xx,xxx/yr"
168,New Delhi (India),Delhivery,Software Engineer,"xx,xxx/yr"
169,New Delhi (India),Tata Consultancy Services (North America),Software Engineer,"xx,xxx/yr"
170,New Delhi (India),SafeNet,Software Engineer,"xx,xxx/yr"
171,New Delhi (India),SRI Delhi,Software Engineer,"xx,xxx/yr"
