,city,company,jobTitle,meanPay
127,New Delhi (India),TransOrg Analytics,Data Scientist,"xx,xxx/yr"
128,New Delhi (India),Innefu Labs Pvt,Data Scientist,"xx,xxx/yr"
129,New Delhi (India),DIMTS,Data Scientist,"xx,xxx/yr"
130,New Delhi (India),Inshorts,Data Scientist,"xx,xxx/yr"
131,New Delhi (India),Vidooly Media Tech,Data Scientist,"xx,xxx/yr"
132,New Delhi (India),Decimal Technologies,Data Scientist,"xx,xxx/yr"
133,New Delhi (India),Dr. B.V. Raju Institute of Technology,Data Scientist - Monthly,"xx,xxx/mo"
134,New Delhi (India),Webhelp,Data Scientist,"xx,xxx/yr"
135,New Delhi (India),HELLO,Data Scientist - Monthly,"xx,xxx/mo"
136,New Delhi (India),Algoscale,Data Scientist - Monthly Intern,"xx,xxx/mo"
137,New Delhi (India),Milkbasket,Data Scientist,"xx,xxx/yr"
138,New Delhi (India),Milkbasket,Data Scientist - Monthly,"xx,xxx/mo"
139,New Delhi (India),BANK,Data Scientist - Monthly,"xx,xxx/mo"
140,New Delhi (India),Algoscale,Data Scientist - Monthly,0/mo
141,New Delhi (India),Quadratic Insights,Data Scientist - Monthly Intern,0/mo
142,New Delhi (India),Shipsy,Data Scientist - Monthly Intern,0/mo
143,New Delhi (India),WyzMindz,Data Scientist,"xx,xxx/yr"
144,New Delhi (India),Analytics Vidhya,Data Scientist - Intern,"xx,xxx/yr"
145,New Delhi (India),Bobble Keyboard,Data Scientist - Monthly Intern,"xx,xxx/mo"
146,New Delhi (India),Tokopedia,Data Scientist - Monthly,"xx,xxx/mo"
147,New Delhi (India),RailYatri,Data Scientist - Monthly Intern,"xx,xxx/mo"
148,New Delhi (India),HDFC ERGO Health Insurance,Data Scientist - Monthly Intern,"xx,xxx/mo"
149,New Delhi (India),Translational Health Science and Technology Institute,Data Scientist,"xx,xxx/yr"
150,New Delhi (India),StashFin,Data Scientist,"xx,xxx/yr"
151,New Delhi (India),Global Tech Promoters,Data Scientist,"xx,xxx/yr"
152,New Delhi (India),Algo8.ai,Data Scientist - Monthly Intern,"xx,xxx/mo"
153,New Delhi (India),Algo8.ai,Data Scientist - Monthly,"xx,xxx/mo"
154,New Delhi (India),Climate Connect,Data Scientist,"xx,xxx/yr"
155,New Delhi (India),Shrofile,Data Scientist - Monthly Intern,"xx,xxx/mo"
156,New Delhi (India),Sagacito,Data Scientist - Monthly Intern,"xx,xxx/mo"
157,New Delhi (India),Kvantum,Data Scientist,"xx,xxx/yr"
158,New Delhi (India),Tatras Data,Data Scientist,"xx,xxx/yr"
159,New Delhi (India),ZiffyHomes,Data Scientist,"xx,xxx/yr"
160,New Delhi (India),Augment Systems,Data Scientist - Monthly,0/mo
161,New Delhi (India),Liberin Technologies,Data Scientist - Monthly Intern,0/mo
162,New Delhi (India),ParallelDots,Data Scientist,0/yr
163,New Delhi (India),EzeiaTech,Data Scientist - Monthly,"xx,xxx/mo"
164,New Delhi (India),Verdis,Data Scientist,"xx,xxx/yr"
165,New Delhi (India),Blackcoffer,Data Scientist - Monthly,"xx,xxx/mo"
166,New Delhi (India),Dentalkart,Data Scientist - Monthly,"xx,xxx/mo"
167,New Delhi (India),Motion Infotech,Data Scientist,"xx,xxx/yr"
168,New Delhi (India),Healthcare at Home,Data Scientist,"xx,xxx/yr"
169,New Delhi (India),Monsoon (India),Data Scientist,"xx,xxx/yr"
170,New Delhi (India),Jason's Deli,Data Scientist,"xx,xxx/yr"
171,New Delhi (India),AnalytixLabs,Data Scientist,"xx,xxx/yr"
172,New Delhi (India),MyCityWay,Data Scientist,"xx,xxx/yr"
173,New Delhi (India),Innowatts,Data Scientist - Monthly,"xx,xxx/mo"
174,New Delhi (India),Dipper,Data Scientist - Monthly Intern,"xx,xxx/mo"
175,New Delhi (India),ISC IT Services,Data Scientist,"xx,xxx/yr"
176,New Delhi (India),myCOL,Data Scientist,"xx,xxx/yr"
177,New Delhi (India),Xalt Analytics,Data Scientist,"xx,xxx/yr"
178,New Delhi (India),Icreon,Data Scientist,"xx,xxx/yr"
179,New Delhi (India),Major League Hacking,Data Scientist - Monthly Intern,"xx,xxx/mo"
180,New Delhi (India),Cronycle,Data Scientist - Monthly Intern,0/mo
181,New Delhi (India),myCOL,Data Scientist - Monthly Intern,0/mo
182,New Delhi (India),Baby Brand Saffron,Data Scientist - Monthly,0/mo
183,New Delhi (India),Valiance Partners,Data Scientist,"xx,xxx/yr"
184,New Delhi (India),Powerup Technology Inc,Data Scientist - Monthly,"xx,xxx/mo"
